Sector,count02,count12,pred.count22,change02.12,pred.change12.22,pct02,pct12,pred.pct22,ann.avg.02.12,pred.ann.avg.12.22
Total,"142,294.90","145,355.80","160,983.70","3,060.90","15,627.90",100,100,100,0.2,1
Nonfarm wage and salary,"131,028.30","134,427.60","149,751.30","3,399.30","15,323.70",92.1,92.5,93,0.3,1.1
Goods no ag,"22,486.70","18,360.30","19,554.20","-4,126.40","1,193.90",15.8,12.6,12.1,-2,0.6
Mining,512.3,800.5,921.7,288.2,121.2,0.4,0.6,0.6,4.6,1.4
Construction,"6,715.70","5,640.90","7,263.00","-1,074.80","1,622.10",4.7,3.9,4.5,-1.7,2.6
Manufacturing ,"15,258.70","11,918.90","11,369.40","-3,339.80",-549.5,10.7,8.2,7.1,-2.4,-0.5
Service Providing,"108,541.60","116,067.30","130,197.10","7,525.70","14,129.80",76.3,79.9,80.9,0.7,1.2
Utilities,596.3,554.2,497.8,-42.1,-56.4,0.4,0.4,0.3,-0.7,-1.1
Wholesale Trade,"5,652.40","5,672.80","6,143.20",20.4,470.4,4,3.9,3.8,0,0.8
Retail trade,"15,025.10","14,875.30","15,966.20",-149.8,"1,090.90",10.6,10.2,9.9,-0.1,0.7
Transportation and warehousing ,"4,223.80","4,414.70","4,742.00",190.9,327.3,3,3,2.9,0.4,0.7
Information ,"3,394.60","2,677.60","2,612.40",-717,-65.2,2.4,1.8,1.6,-2.3,-0.2
Financial activities ,"7,847.10","7,786.30","8,537.30",-60.8,751,5.5,5.4,5.3,-0.1,0.9
Professional and business services ,"15,976.20","17,930.20","21,413.00","1,954.00","3,482.80",11.2,12.3,13.3,1.2,1.8
Education and health services,"16,198.40","20,318.70","25,988.10","4,120.30","5,669.40",11.4,14,16.1,,
Educational services,"2,642.80","3,346.90","4,022.20",704.1,675.3,1.9,2.3,2.5,2.4,1.9
Health care and social assistance,"13,555.60","16,971.80","21,965.90","3,416.20","4,994.10",9.5,11.7,13.6,2.3,2.6
Leisure and hospitality,"11,986.00","13,745.80","15,035.00","1,759.80","1,289.20",8.4,9.5,9.3,1.4,0.9
Other services,"6,129.00","6,174.50","6,823.40",45.5,648.9,4.3,4.2,4.2,0.1,1
Federal government,"2,766.00","2,814.00","2,406.50",48,-407.5,1.9,1.9,1.5,0.2,-1.6
State and local government,"18,746.70","19,103.20","20,032.20",356.5,929,13.2,13.1,12.4,0.2,0.5
Agriculture,"2,245.40","2,112.70","1,889.20",-132.7,-223.5,1.6,1.5,1.2,-0.6,-1.1
Agriculture wage and salary,"1,217.40","1,306.90","1,281.80",89.5,-25.1,0.9,0.9,0.8,0.7,-0.2
Agriculture self-employed and unpaid family workers,"1,028.00",805.8,607.4,-222.2,-198.4,0.7,0.6,0.4,-2.4,-2.8
Nonagriculture self-employed and unpaid family workers,"9,021.20","8,815.50","9,343.20",-205.7,527.7,6.3,6.1,5.8,-0.2,0.6
